credit_policy,purpose,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid
1,home_improvement,0.206,1123.34,480000,7.17,724,41487,13151,0.822,1,0,0,1
1,debt_consolidation,0.11,392.98,117000,8.96,739,39264,24967,0.424,1,0,0,1
1,debt_consolidation,0.206,670.03,4800,245,674,39569,3451,0.986,0,0,1,1
1,debt_consolidation,0.088,400.36,176000,12.57,699,39295,21403,0.481,2,0,0,1
1,debt_consolidation,0.152,695.66,140000,14.74,689,38231,12871,0.57,0,0,0,1
1,debt_consolidation,0.082,529.56,90000,11.79,724,39022,9407,0.164,1,0,0,1
1,debt_consolidation,0.231,600.37,41000,39.14,669,42430,16664,0.538,1,0,0,1
1,credit_card,0.131,465.57,140000,28.36,669,38139,52735,0.698,0,0,0,1
1,credit_card,0.143,720.8,56500,34.56,714,38200,2670,0.173,2,0,0,1
1,debt_consolidation,0.103,194.54,120000,16.96,724,38869,8151,0.208,2,0,0,1
1,debt_consolidation,0.186,488.91,38000,37.68,699,38322,25447,0.932,0,0,0,1
1,debt_consolidation,0.152,730.64,97000,36.26,704,37347,34475,0.57,0,0,0,1
1,credit_card,0.082,630.84,290000,18.9,724,31929,12129,0.27,0,0,0,1
1,credit_card,0.143,374.79,33648,34.13,759,35643,183923,0.177,0,0,0,1
1,debt_consolidation,0.186,1029.28,130000,11.95,699,36586,8956,0.194,2,0,0,1
1,credit_card,0.076,996.29,160000,19.7,714,32203,72688,0.731,0,0,0,1
1,debt_consolidation,0.152,243.49,54000,18.27,674,38565,7335,0.439,1,0,0,1
1,debt_consolidation,0.177,216.14,62000,17.71,664,34274,6743,0.992,1,2,0,1
1,credit_card,0.124,319.03,140000,24.6,664,38565,52030,0.953,1,0,1,1
1,debt_consolidation,0.065,612.62,100000,27.99,764,38961,10352,0.168,1,0,0,1
1,debt_consolidation,0.082,814.7,100000,17.14,789,37104,11467,0.173,2,0,0,1
1,debt_consolidation,0.152,166.96,50000,14.59,674,40238,3485,0.363,0,0,0,1
1,debt_consolidation,0.161,273.08,65000,15.31,694,38108,8310,0.303,2,1,0,1
1,other,0.088,114.17,45000,7.41,674,37773,1905,0.298,0,0,1,1
1,credit_card,0.17,231.59,48000,7.68,684,42125,13544,0.459,1,0,0,1
1,credit_card,0.131,348.75,175000,10.54,674,36708,35147,0.472,0,0,0,1
1,debt_consolidation,0.082,501.22,34400,15.25,779,40544,3934,0.123,0,0,0,1
1,credit_card,0.206,224.67,35000,29.32,679,39234,6355,0.413,1,1,0,1
1,credit_card,0.088,443.96,102000,21.91,694,35735,26249,0.536,0,1,0,1
1,debt_consolidation,0.17,855.07,120000,26.06,694,35735,19681,0.53,2,6,0,1
1,debt_consolidation,0.11,313.24,44200,31.77,749,36008,13183,0.226,0,0,0,1
1,debt_consolidation,0.076,560.41,60000,16.76,744,36739,24289,0.507,0,0,0,1
1,debt_consolidation,0.076,112.09,66000,4.95,739,35186,1969,0.058,2,0,0,1
1,debt_consolidation,0.11,261.03,66418.88,5.5,694,37438,4347,0.41,0,0,0,1
1,other,0.206,758.47,115000,24.43,694,39661,20502,0.409,0,0,1,1
1,home_improvement,0.07,1023.88,60000,17.2,724,38991,0,0,0,0,0,1
1,debt_consolidation,0.082,782.11,187000,29.47,714,31199,126805,0.532,1,0,0,1
1,debt_consolidation,0.131,341.92,34000,19.24,749,42248,8672,0.217,0,0,0,1
1,debt_consolidation,0.076,161.9,78500,24.52,739,37712,2559,0.081,1,0,0,1
1,debt_consolidation,0.206,374.45,105000,24.81,684,36800,6232,0.154,3,0,0,1
1,debt_consolidation,0.082,219.97,56000,14.12,689,39873,8925,0.458,2,0,0,1
1,credit_card,0.07,772.16,189600,22.75,734,37196,17371,0.278,0,0,0,1
1,home_improvement,0.206,615.75,101000,27.64,679,32813,16440,0.598,0,0,0,1
1,debt_consolidation,0.152,486.97,95000,15.55,694,37377,7706,0.374,0,0,0,1
1,debt_consolidation,0.11,652.58,229000,10.85,729,31809,44738,0.42,2,0,0,1
1,small_business,0.257,816.13,250000,14.48,684,41518,21018,0.778,1,0,0,1
1,debt_consolidation,0.152,430.49,60000,19.64,719,39814,4570,0.194,0,0,1,1
1,major_purchase,0.257,693.81,70369,41.81,694,38384,16391,0.953,0,0,1,1
1,debt_consolidation,0.131,484.95,50000,17.67,684,35278,15613,0.587,0,0,0,1
1,debt_consolidation,0.131,911.77,100000,15.58,719,36526,30406,0.403,2,0,0,1
1,debt_consolidation,0.076,467.01,48000,33.19,724,32417,16305,0.172,1,1,0,1
1,debt_consolidation,0.143,585.61,92000,35.4,694,39600,23858,0.497,1,1,0,1
1,debt_consolidation,0.088,114.17,41000,31.15,704,37895,30904,0.914,0,0,0,1
1,home_improvement,0.07,325.08,170000,13.28,749,38930,45,0.002,0,0,0,1
1,home_improvement,0.143,205.95,100000,41.15,699,32448,173450,0.972,0,0,0,1
1,credit_card,0.088,1213.76,131000,26.29,669,38443,43744,0.716,0,0,1,1
1,credit_card,0.076,688.06,72000,17.63,784,36739,7294,0.272,0,0,0,1
1,debt_consolidation,0.206,294.81,67000,20.4,679,37653,5866,0.134,2,1,1,1
1,major_purchase,0.088,190.27,126030.7,17.43,694,38353,1684,0.043,0,0,1,1
1,debt_consolidation,0.177,720.45,40000,22.35,674,41456,26759,0.78,0,0,0,1
1,other,0.082,407.35,130000,31.04,764,38169,17364,0.18,1,0,0,1
1,debt_consolidation,0.103,342.56,92000,18.22,744,32051,50387,0.374,1,0,0,1
1,debt_consolidation,0.076,340.14,65000,20.07,739,41730,5986,0.193,1,0,0,1
1,home_improvement,0.088,856.21,71000,20.01,694,39600,20776,0.526,2,0,0,1
1,debt_consolidation,0.117,264.61,50000,21.57,734,38991,6570,0.603,0,0,0,1
1,debt_consolidation,0.082,333.89,34000,16.24,754,39783,7693,0.228,0,0,0,1
1,credit_card,0.076,108.97,75000,19.36,774,31079,8506,0.212,2,0,0,1
1,debt_consolidation,0.131,341.92,71000,14.28,724,42036,7051,0.588,0,0,0,1
1,debt_consolidation,0.131,245.04,75000,14.62,709,35643,20741,0.678,0,0,0,1
1,debt_consolidation,0.17,464.25,70120,30.65,679,36647,42577,0.914,0,0,0,1
1,credit_card,0.161,126.78,30000,22.64,669,40179,7898,0.527,0,0,1,1
1,debt_consolidation,0.131,273.53,80000,11.04,694,38869,17032,0.66,1,0,0,1
1,credit_card,0.186,154.4,60000,10.08,679,38899,5903,0.425,0,1,0,1
1,debt_consolidation,0.088,475.68,78000,24.43,689,34731,15043,0.472,0,3,0,1
1,debt_consolidation,0.231,426.1,91000,27.15,669,38504,8542,0.784,0,3,0,1
1,debt_consolidation,0.11,282.79,105000,13.04,729,39448,29455,0.415,0,0,0,1
1,debt_consolidation,0.103,178.33,68500,23.72,694,38384,4637,0.104,1,1,0,1
1,debt_consolidation,0.076,467.01,150000,11.42,734,42005,7181,0.31,2,0,0,1
1,debt_consolidation,0.076,809.48,320000,10.42,719,37104,14396,0.417,0,3,0,1
1,debt_consolidation,0.11,870.1,50000,93.69,749,39417,15554,0.482,0,0,0,1
1,debt_consolidation,0.131,364.71,100000,19.13,734,37226,23128,0.365,0,0,0,1
1,credit_card,0.065,1225.24,225000,25.32,709,27607,75449,0.53,0,0,0,1
1,debt_consolidation,0.161,352.17,23500,16.91,679,42186,11968,0.63,0,0,0,1
1,credit_card,0.076,327.69,68000,38,739,34820,21818,0.391,1,0,0,1
1,debt_consolidation,0.124,212.97,130000,28.13,699,33055,32124,0.37,2,0,0,1
1,debt_consolidation,0.131,227.95,27635.4,12.95,674,38169,3520,0.88,0,0,1,1
1,debt_consolidation,0.143,281.09,100000,17.76,674,42005,8064,0.313,2,0,0,1
1,debt_consolidation,0.065,320.1,220000,11.52,739,31503,23471,0.323,0,1,0,1
1,credit_card,0.082,244.41,105674,8.88,729,39569,5521,0.122,1,0,1,1
1,credit_card,0.076,851.51,92000,44.94,724,34973,43517,0.5,0,0,0,1
1,credit_card,0.103,324.23,120000,11.17,679,39114,23658,0.659,1,1,0,1
1,debt_consolidation,0.076,261.53,67517,39.3,724,39326,30562,0.646,0,0,0,1
1,debt_consolidation,0.088,1078.98,158400,25.71,699,37803,87933,0.633,0,0,0,1
1,debt_consolidation,0.177,900.56,115000,19.15,664,42278,14087,0.668,0,0,0,1
1,credit_card,0.186,291.72,42000,18.43,669,41122,10035,0.353,2,0,0,1
1,credit_card,0.088,785.32,106000,12.94,664,35034,38106,0.6,0,1,0,1
1,debt_consolidation,0.143,323.84,88000,19.64,704,39904,16579,0.528,0,0,1,1
1,debt_consolidation,0.231,474.09,54000,17.04,674,38596,23652,0.935,0,0,0,1
1,credit_card,0.206,374.45,55349,26.19,689,38961,10148,0.725,0,0,0,1
1,debt_consolidation,0.131,698.64,95000,14.94,719,38626,11464,0.38,0,0,0,1
1,credit_card,0.186,510.5,52000,30.28,689,42675,13236,0.453,3,0,0,1
1,credit_card,0.131,296.33,50000,16.71,714,38443,17769,0.462,0,0,0,1
1,debt_consolidation,0.177,724.74,300000,10.5,694,38808,11486,0.798,0,0,0,1
1,credit_card,0.07,197.68,93000,12.4,694,39600,5845,0.272,0,1,0,1
1,credit_card,0.161,975.28,150000,15.46,684,37865,27822,0.432,0,0,0,1
1,debt_consolidation,0.11,1047.95,90000,35.71,729,38838,14140,0.243,1,0,0,1
1,debt_consolidation,0.131,797.8,200000,18.78,704,38961,64879,0.672,0,0,0,1
1,car,0.131,444.49,85000,21.4,694,39083,31385,0.538,2,0,0,1
1,credit_card,0.076,653.81,120000,19.15,739,30286,44661,0.003,0,0,0,1
1,credit_card,0.103,616.07,53000,18.32,784,38930,8832,0.171,0,0,0,1
1,debt_consolidation,0.143,583.5,250000,4.15,684,40148,20291,0.538,1,0,0,1
1,credit_card,0.065,137.84,36000,13.53,739,40787,2775,0.148,1,0,0,1
1,debt_consolidation,0.082,319.77,93000,22.92,819,35339,3639,0.097,0,0,0,1
1,debt_consolidation,0.131,808.74,360000,10.26,694,35217,56645,0.635,0,0,0,1
1,credit_card,0.065,612.62,184000,20.26,724,30773,43923,0.47,1,0,0,1
1,debt_consolidation,0.152,76.53,53000,19.95,704,40179,5963,0.417,1,0,0,1
1,debt_consolidation,0.082,188.55,65000,30.56,709,38930,12069,0.586,0,0,0,1
1,debt_consolidation,0.11,870.1,65000,33.77,749,36404,31197,0.446,0,0,0,1
1,credit_card,0.07,1235.45,190000,17.33,729,35551,43133,0.444,0,0,0,1
1,debt_consolidation,0.124,477.57,62400,26.37,669,38018,9786,0.325,2,2,0,1
1,debt_consolidation,0.065,464.06,157000,11.99,764,38626,19433,0.423,0,0,0,1
1,other,0.131,178.79,50000,32.29,669,34182,3094,0.193,3,0,0,1
1,debt_consolidation,0.11,417.54,58000,28.37,664,39114,13746,0.755,0,3,0,1
1,debt_consolidation,0.131,729.41,45000,12.48,769,40360,4385,0.081,0,0,0,1
1,home_improvement,0.177,432.27,48880,30.05,679,39052,22131,0.709,0,0,0,1
1,debt_consolidation,0.206,938.03,95000,39.4,689,39022,35460,0.47,0,0,0,1
1,debt_consolidation,0.231,697.25,33000,26.75,719,39479,17813,0.596,1,0,0,1
1,credit_card,0.065,480.91,143000,10.18,784,32143,21444,0.231,0,0,0,1
1,debt_consolidation,0.088,426.52,65000,36.34,714,38869,26604,0.243,0,0,0,1
1,debt_consolidation,0.152,313.05,108000,15.6,704,41306,6515,0.265,1,0,0,1
1,credit_card,0.11,693.91,75000,20.46,739,37316,20992,0.917,0,0,0,1
1,credit_card,0.088,1205.04,102000,34.18,699,35735,39576,0.733,0,0,0,1
1,credit_card,0.17,474.8,35000,44.68,719,39661,11771,0.383,0,0,0,1
1,debt_consolidation,0.143,240.27,55000,8.68,709,39264,9838,0.26,1,0,0,1
1,home_improvement,0.186,699.91,90000,29.93,704,31168,23875,0.324,2,0,0,1
1,debt_consolidation,0.17,890.7,138000,21.48,684,36069,25086,0.417,1,0,0,1
1,credit_card,0.143,1194.46,280000,13.26,689,32964,86630,0.586,0,0,0,1
1,credit_card,0.161,292.59,65000,21.49,704,35977,19793,0.453,0,1,0,1
1,credit_card,0.206,168.5,52000,21.35,719,37622,4178,0.298,1,0,0,1
1,debt_consolidation,0.161,580.9,55000,12.9,744,39479,424,0.028,2,0,0,1
1,credit_card,0.088,336.94,100000,11.46,684,36770,16383,0.301,0,0,0,1
1,credit_card,0.082,224.05,36000,7.6,719,40603,10647,0.349,0,0,0,1
1,debt_consolidation,0.124,1102.39,53700,28.58,699,37226,21834,0.772,2,0,0,1
1,debt_consolidation,0.065,324.69,130000,10.01,824,32782,4496,0.064,0,0,0,1
1,debt_consolidation,0.076,933.24,67500,60.06,794,34182,24563,0.226,0,0,0,1
1,debt_consolidation,0.161,63.39,16000,21.53,694,40422,5709,0.324,0,0,0,1
1,debt_consolidation,0.206,795.7,131000,19.86,709,30590,18941,0.395,0,0,0,1
1,debt_consolidation,0.065,765.77,108000,25.36,779,39630,9974,0.159,0,0,0,1
1,debt_consolidation,0.103,486.34,65000,17.76,679,40087,21981,0.75,0,1,0,1
1,debt_consolidation,0.076,801.7,330000,9.92,724,39356,44819,0.83,1,0,0,1
1,debt_consolidation,0.076,498.15,63000,29.1,704,38657,21246,0.393,0,0,0,1
1,home_improvement,0.161,290.15,72000,35.03,684,37834,17676,0.746,0,3,0,1
1,debt_consolidation,0.231,987.68,85000,21.63,704,37012,33328,0.729,0,0,0,1
1,debt_consolidation,0.117,530.36,30000,24.68,749,36951,11971,0.658,0,0,0,1
1,credit_card,0.065,471.72,75000,26.72,734,35612,18027,0.305,0,0,0,1
1,credit_card,0.088,215.64,30000,18.64,719,41334,7717,0.348,0,0,0,1
1,debt_consolidation,0.131,400.04,70000,26.57,699,38687,26142,0.52,1,0,0,1
1,credit_card,0.131,657.79,56000,31.98,689,39326,12968,0.853,0,0,0,1
1,credit_card,0.065,1225.24,190000,10.59,694,37712,46248,0.707,0,0,0,1
1,debt_consolidation,0.143,871.97,78000,22.48,759,39203,3990,0.35,1,0,0,1
1,debt_consolidation,0.131,797.8,110000,21.29,674,36708,26246,0.99,0,1,0,1
1,debt_consolidation,0.082,305.52,37440,12.12,734,39142,12631,0.159,0,0,0,1
1,debt_consolidation,0.088,285.41,37500,34.88,689,38961,6581,0.495,1,0,0,1
1,debt_consolidation,0.065,192.21,82000,11.94,749,38838,14846,0.313,1,0,0,1
1,debt_consolidation,0.088,454.66,80000,15.59,689,39753,24845,0.485,0,0,0,1
1,home_improvement,0.065,1202.26,397819,5.63,749,32509,72771,0.192,0,0,0,1
1,credit_card,0.076,327.69,42000,45.06,739,33329,8154,0.503,1,0,0,1
1,debt_consolidation,0.103,243.17,112000,4.5,684,38443,5443,0.672,0,0,0,1
1,debt_consolidation,0.088,1268.46,159000,16.45,714,40422,16121,0.412,0,0,0,1
1,debt_consolidation,0.186,232.46,87500,6.68,674,40057,13352,0.148,1,1,0,1
1,credit_card,0.206,238.71,95000,18.92,674,41183,30202,0.888,1,0,0,1
1,debt_consolidation,0.11,323.57,39176.93,25.95,729,38869,3813,0.537,1,0,0,1
1,debt_consolidation,0.082,627.7,66000,42.25,729,28491,38130,0.502,0,0,0,1
1,debt_consolidation,0.288,948.61,150000,13.43,684,33117,30681,0.26,0,1,1,1
1,debt_consolidation,0.17,460.52,77000,38.7,714,38261,7467,0.267,0,2,0,1
1,home_improvement,0.076,700.52,38000,26.44,739,38078,13044,0.153,0,0,1,1
1,credit_card,0.288,668.76,99000,36.42,684,38930,43531,0.987,0,0,0,1
1,debt_consolidation,0.124,141.42,32000,67.61,779,38443,3302,0.175,0,0,0,1
1,medical,0.161,299.34,41340,10.8,709,37469,2592,0.153,0,3,0,1
1,debt_consolidation,0.131,364.71,250000,5.76,799,37926,7089,0.15,1,0,0,1
1,debt_consolidation,0.124,472.52,115000,13.91,809,37377,4597,0.112,0,0,0,1
1,debt_consolidation,0.076,484.91,210000,19.25,794,40087,1720,0.041,0,0,0,1
1,debt_consolidation,0.124,212.97,35000,17.76,674,41944,1666,0.49,0,0,0,1
1,small_business,0.161,352.17,140000,11.06,714,33878,13573,0.628,0,1,0,1
1,debt_consolidation,0.088,329.8,45000,8.88,709,40391,8142,0.775,0,0,0,1
1,debt_consolidation,0.082,351.34,145344,17.92,764,34029,25621,0.225,0,0,0,1
1,credit_card,0.143,1201.33,0,,679,42156,16858,0.371,1,0,2,1
1,credit_card,0.082,468.46,125000,16.21,704,38504,23436,0.57,0,0,0,1
1,debt_consolidation,0.088,348.83,130000,6.22,669,41030,9848,0.405,0,1,1,1
1,debt_consolidation,0.076,323.8,80000,17.1,739,36892,16570,0.127,0,0,0,1
1,debt_consolidation,0.131,719.73,250000,15.44,704,31229,62443,0.519,1,0,0,1
1,debt_consolidation,0.288,807.11,70000,7.53,664,39965,5654,0.808,1,0,1,1
1,home_improvement,0.11,654.21,77000,29.36,824,36831,236,0.008,0,0,0,1
1,other,0.11,229.24,35000,28.19,779,25842,6790,0.127,1,0,0,1
1,debt_consolidation,0.065,320.1,97000,6.07,734,37500,12684,0.194,0,0,1,1
1,credit_card,0.065,214.42,90000,4.97,769,33086,8517,0.164,0,0,0,1
1,debt_consolidation,0.082,164.2,89500,17.71,789,37347,4469,0.069,0,0,0,1
1,major_purchase,0.11,346.96,58000,5.63,734,39569,941,0.04,1,0,0,1
1,credit_card,0.206,269.6,100000,13.39,679,40269,3068,0.365,1,0,0,1
1,debt_consolidation,0.11,785.96,300000,14.78,719,38869,28119,0.462,0,0,0,1
1,credit_card,0.131,505.99,80000,23.22,674,39264,11063,0.845,1,0,0,1
1,debt_consolidation,0.082,814.7,119000,11.85,714,40330,32789,0.373,0,0,0,1
1,debt_consolidation,0.088,443.96,36000,36.47,749,41640,3113,0.185,0,0,0,1
1,home_improvement,0.082,814.7,40000,41.67,744,38657,25084,0.014,0,0,0,1
1,other,0.257,1283.35,500000,10.13,669,38899,90048,0.93,0,0,0,1
1,debt_consolidation,0.088,842.73,110000,31.89,704,28126,53146,0.727,0,0,0,1
1,debt_consolidation,0.152,254.11,44000,36.85,699,34394,24074,0.748,1,0,0,1
1,debt_consolidation,0.124,298.15,80000,13.25,679,38504,4383,0.466,3,0,0,1
1,debt_consolidation,0.088,336.94,110000,8.41,699,38565,3999,0.116,0,1,0,1
1,debt_consolidation,0.257,1042.72,125000,27.06,704,32782,51890,0.608,1,0,0,1
1,credit_card,0.065,704.51,65000,28.1,709,32933,18317,0.396,0,0,0,1
1,home_improvement,0.07,148.26,38581.69,22.08,814,34243,1830,0.053,0,0,0,1
1,other,0.152,597.91,106000,11,779,37742,23886,0.254,0,0,0,1
1,credit_card,0.082,570.29,175000,9.8,704,37377,26363,0.415,0,1,0,1
1,debt_consolidation,0.088,809.44,145000,21.07,719,32051,19757,0.325,0,1,0,1
1,credit_card,0.088,516.66,106000,16.94,719,38353,18094,0.291,0,0,0,0
1,credit_card,0.076,298.89,36400,15.83,709,39022,7961,0.355,0,0,0,1
1,debt_consolidation,0.065,1176.23,120000,24.23,729,36861,86993,0.604,0,0,0,1
1,debt_consolidation,0.076,622.68,48000,26.1,804,37073,6397,0.179,0,0,0,1
1,credit_card,0.076,233.51,40000,16.23,779,39295,7495,0.16,0,0,0,1
1,credit_card,0.07,154.44,75000,24.54,749,37773,9004,0.25,0,0,0,1
1,debt_consolidation,0.082,324.87,130000,19.76,734,31079,38987,0.436,0,0,0,1
1,house,0.231,282.2,94000,30.52,719,39508,10705,0.269,2,0,0,1
1,credit_card,0.124,448.95,125000,14.97,674,40179,20268,0.549,0,0,0,1
1,debt_consolidation,0.11,589.47,44000,57.45,734,40725,19274,0.738,1,0,0,1
1,debt_consolidation,0.088,199.79,52000,8.98,739,39234,12761,0.181,0,0,0,1
1,debt_consolidation,0.065,224.38,36000,38.17,794,37135,3986,0.09,0,0,0,1
1,debt_consolidation,0.11,228.95,45000,25.41,764,36130,4929,0.277,1,0,0,1
1,debt_consolidation,0.082,407.35,168000,7.67,729,39142,20240,0.464,0,0,1,1
1,debt_consolidation,0.103,1158.29,120000,16.98,669,39814,11475,0.588,0,0,0,1
1,debt_consolidation,0.076,451.44,167000,4.41,734,33635,2877,0.115,1,0,0,1
1,debt_consolidation,0.103,308.31,36000,14.8,739,41760,2142,0.11,0,0,0,1
1,debt_consolidation,0.161,299.34,73000,11.67,664,39934,4623,0.841,0,0,0,1
1,debt_consolidation,0.131,145.32,71000,5.12,664,36495,5528,0.327,0,0,1,1
1,major_purchase,0.082,563.16,40000,10.02,784,38018,3328,0.085,1,0,0,1
1,major_purchase,0.076,196.15,27420,38.12,769,38899,3235,0.2,0,0,0,1
1,debt_consolidation,0.177,756.47,115000,23.69,704,41306,22516,0.395,0,0,0,1
1,credit_card,0.065,480.91,100000,15.3,724,37712,12108,0.214,0,1,0,1
1,major_purchase,0.124,859.17,63000,22.5,754,37712,4081,0.091,1,0,1,1
1,debt_consolidation,0.186,233.38,70000,5.97,689,37653,5785,0.643,1,0,0,1
1,debt_consolidation,0.088,1023.49,240000,37.41,714,38687,186899,0.417,0,0,0,1
1,credit_card,0.088,168.08,53000,28.24,719,35400,5663,0.17,1,0,0,1
1,credit_card,0.065,1225.24,352000,4.27,724,36281,29084,0.462,0,0,0,1
1,debt_consolidation,0.143,121,98000,25.21,694,38261,22135,0.514,3,0,0,1
1,credit_card,0.103,813.58,79500,27.71,699,37469,25520,0.795,0,0,0,1
1,debt_consolidation,0.131,683.83,38000,44.88,689,39904,25150,0.85,0,0,0,1
1,credit_card,0.088,159.35,142000,37.72,689,37681,41019,0.435,1,0,0,1
1,debt_consolidation,0.206,450.26,75000,21.97,674,39356,15959,0.657,2,1,0,1
1,major_purchase,0.206,938.03,43500,14.9,724,41091,6904,0.2,1,0,0,1
1,credit_card,0.088,451.89,52000,59.29,694,39845,26235,0.607,0,0,0,1
1,debt_consolidation,0.152,250.44,30000,9.4,694,39356,7201,0.293,0,2,0,1
